path_index,n4_c0,n4_c5,n4_c20,n16_c0,n16_c5,n16_c20,n64_c0,n64_c5,n64_c20,n256_c0,n256_c5,n256_c20
4388,-94.621222546070726,-101.53969044704752,-122.29509414997449,-7.0985437454454541,-24.20773867205196,-75.535323451876934,-1.5449559441930205,-25.994382169541382,-99.342660845593741,1.8359878798020191,-38.773908304912652,-160.6035968591367
4389,-73.270709756252472,-80.988202139087662,-104.14067928759641,2.325372406598337,-6.3541264774326969,-32.39262312951621,22.917490737844137,8.4399086924181965,-34.99283744386446,13.804568733419476,-12.906302506870004,-93.03891622775258
4390,6.4699129521612804,-3.8607861778237975,-34.852883567769936,30.392929151546809,19.31189510063075,-13.931207052093782,21.40749522111571,6.1916294064357089,-39.455968037600655,7.4050250406288569,-16.474278990957941,-88.112191085674681
4391,-63.048982693320795,-72.293736848088884,-100.02799931239406,11.854277565030259,0.55240854452156896,-33.353198516995434,6.7392497297083018,-13.967018734689972,-76.085824127875455,13.168365104344744,-23.05861097600318,-131.73953921704026
4392,-25.142115944832256,-31.720446237876956,-51.4554371170114,12.100720926457273,3.5913296812437996,-21.936844054394115,19.225041445972295,5.1978142299445276,-36.883867418140468,1.0218702518021996,-26.189650181312317,-107.82421148066
4393,69.538016298245964,64.324682051351658,48.684679310666638,45.783599280611639,38.954413782546226,18.466857288357431,17.016007970695455,4.274103663580604,-33.951609257764972,15.846279817967286,-14.971262171246792,-107.42388813889721
4394,4.1196081193465943,-5.826165541764567,-35.663486525101689,51.386272505960733,38.397974792733294,-0.56691834694174759,26.619078516392619,7.8530274732129328,-48.445125656295204,13.77303786711127,-17.98710843738445,-113.26754735086433
4395,-143.20627307110522,-154.62891634348966,-188.89684616064301,6.2092050264134286,-6.1001988553264255,-43.028410500545988,-39.849803793312503,-59.070889519754246,-116.73414669906674,-16.666730866361149,-45.87624857202286,-133.5048016891044
4396,-43.2749158754159,-50.952439129276172,-73.985008890856079,-4.3578317286096535,-15.633853528949203,-49.461918929948297,52.548658714659808,33.674787756915606,-22.946825116301099,23.49759212859772,-13.598359439549794,-124.88621414398126
4397,-87.474357292176805,-92.775288086255131,-108.67808046848289,7.8186165763000028,0.38235354703737817,-21.92643554074284,-53.697353198400826,-69.302345401651351,-116.11732201139105,-18.125261861215268,-42.885236919532389,-117.16516209448784
4398,-111.45268532439361,-116.57492013240615,-131.94162455644198,-76.292816480722024,-82.501496748913837,-101.12753755348648,-13.609240749559156,-20.927798963278931,-42.883473604437533,6.4745042764844811,-2.9150824002477318,-31.083842430455469
4399,-274.94282493931212,-285.28077969016852,-316.29464394273475,-65.228878757400494,-76.817180578580491,-111.58208604212631,-12.239847519744847,-29.829527810184331,-82.598568681481964,11.887430820307504,-16.649970939722866,-102.26217621980814
4400,-8.74572535106077,-13.919313639060242,-29.440078503055474,16.301855960372801,9.8295387768479952,-9.5874127737314527,-5.5436515115187337,-16.88329713780406,-50.902234016650645,-4.3599047730927918,-24.443488887027307,-84.694241228841975
4401,46.226419059995806,36.312060209681931,6.5689836587457648,-13.882517104459566,-27.271229791451788,-67.437367852435727,3.4444551602150568,-13.873538794000069,-65.827520656656361,5.547897709784138,-21.873562166440479,-104.13794179504885
4402,76.663825864213777,70.081018147611758,50.332594997807291,13.225361294449158,2.3360799674180726,-30.33176401367291,17.376528293421899,-0.80161071077493751,-55.336027723383751,-14.26968944487423,-50.872742133841122,-160.68190020071228
