date,VOO,AMZN,GOOGL,RF
2025-05-13,531.5023193,211.3699951,158.7817841,0.0002
2025-05-14,532.1624756,210.25,164.5944061,0.0002
2025-05-15,534.7734985,205.1699982,163.1910095,0.0002
2025-05-16,538.2220459,205.5899963,165.4105682,0.0002
2025-05-19,538.7737427,206.1600037,165.7588959,0.0002
2025-05-20,536.8623047,204.0700073,163.2109222,0.0002
2025-05-21,527.8864136,201.1199951,167.7694244,0.0002
2025-05-22,528.1326904,203.1000061,170.0685883,0.0002
2025-05-23,524.565979,200.9900055,167.6798553,0.0002
2025-05-27,535.3450317,206.0200043,172.0890808,0.0002
2025-05-28,532.2905273,204.7200012,171.5516205,0.0002
2025-05-29,534.3399658,205.6999969,171.0539551,0.0002
2025-05-30,533.7883301,205.0099945,170.9345398,0.0002
2025-06-02,536.8918457,206.6499939,168.2372589,0.0002
2025-06-03,539.9364624,205.7100067,165.4005737,0.0002
2025-06-04,539.5916138,207.2299957,167.2618256,0.0002
2025-06-05,537.0692139,207.9100037,167.4210968,0.0002
2025-06-06,542.557251,213.5700073,172.8654022,0.0002
2025-06-09,543.1384888,216.9799957,175.4762878,0.0002
2025-06-10,546.2324219,217.6100006,177.9775696,0.0002
2025-06-11,544.7248535,213.1999969,176.7319031,0.0002
2025-06-12,546.7841187,213.2400055,175.0876617,0.0002
2025-06-13,540.6950684,212.1000061,174.0612335,0.0002
2025-06-16,545.9171753,216.1000061,176.1539154,0.0002
2025-06-17,541.2665405,214.8200073,175.3367615,0.0002
2025-06-18,541.1581421,212.5200043,172.7159576,0.0002
2025-06-20,539.6605225,209.6900024,166.0592346,0.0002
2025-06-23,545.2174683,208.4700012,164.6142883,0.0002
2025-06-24,551.2081299,212.7700043,166.1887817,0.0002
2025-06-25,551.4839478,211.9900055,170.0851288,0.0002
2025-06-26,555.848877,217.1199951,172.9351807,0.0002
2025-06-27,558.6075439,223.3000031,177.9077911,0.0002
2025-06-30,561.3996582,219.3899994,175.6157837,0.0002
2025-07-01,561.1426392,220.4600067,175.2271576,0.0002
2025-07-02,563.6331177,219.9199982,178.017395,0.0002
2025-07-03,568.5056152,223.4100037,178.9042969,0.0002
2025-07-07,563.9494629,223.4700012,176.1738281,0.0002
2025-07-08,563.5738525,219.3600006,173.7523041,0.0002
2025-07-09,566.9144897,222.5399933,176.0044403,0.0002
2025-07-10,568.5748901,222.2599945,177.0009613,0.0002
2025-07-11,566.5289917,225.0200043,179.5620117,0.0002
